*******************************************************************************
JPL/HORIZONS              67P/Churyumov-Gerasimenko        2023-Mar-06 17:35:01
Rec #:90000697 (+COV) Soln.date: 2023-Jan-17_10:30:45   # obs: 7133 (2013-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457691.5 ! 2016-Oct-30.0000000 (TDB)    RMSW= n.a.
   EC= .6419142432787543   QR= 1.240472505873183   TP= 2457247.9181367746
   OM= 50.04561279541581   W= 12.83931267126669    IN= 7.052951527506115
   A= 3.464177177085648    MA= 67.80749654588392   ADIST= 5.687881848298113
   PER= 6.4477523207981    N= .152863546           ANGMOM= .024549929
   DAN= 1.25272            DDN= 5.44388            L= 62.7909565
   B= 1.5635283            MOID= .254401           TP= 2015-Aug-13.4181367746
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= 6.622E-7            RAD= 1.7
   M1=  12.8     M2=  n.a.     k1=  8.     k2= n.a.     PHCOF= n.a.
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 6.253191828728E-10  A2= -9.530938230455E-11 A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#K212/38, data arc: 2013-04-17 to 2022-05-28
2: k1=8.;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Mar  6 17:35:01 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 67P/Churyumov-Gerasimenko       {source: JPL#K212/38}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2023-Mar-07 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Mar-07 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : 1.7 km                                                       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230306.p230529                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-28
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457691.5 ! 2016-Oct-30.0000000 (TDB)    RMSW= n.a.                  
   EC= .6419142432787543   QR= 1.240472505873183   TP= 2457247.9181367746      
   OM= 50.04561279541581   W= 12.83931267126669    IN= 7.052951527506115       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-3.671444539611959E+00  Y=-1.497762385991873E+00  Z=-4.027133458856754E-01
  VX=-2.291930438111897E-03 VY=-6.813786631688840E-03 VZ=-3.374841349586171E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= 6.622E-7            RAD= 1.7                                            
   M1=  12.8     M2=  n.a.     k1=  8.     k2= n.a.     PHCOF= n.a.            
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 6.253191828728E-10  A2= -9.530938230455E-11 A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    T-mag,  N-mag,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 2023-Mar-07 00:00, , , 14 03 21.70, -11 21 38.3,   20.522,   n.a.,  3.48748456549577,-12.6065596,  133.1524,/L,    9.8596,   0.2797780,  288.51277,  -46.90819,        n.a.     n.a.
 2023-Mar-08 00:00, , , 14 02 55.27, -11 19 27.6,   20.521,   n.a.,  3.48030557797072,-12.2530544,  134.2664,/L,    9.6683,   0.2897227,  288.54429,  -45.15338,        n.a.     n.a.
 2023-Mar-09 00:00, , , 14 02 27.94, -11 17 12.1,   20.521,   n.a.,  3.47333315966373,-11.8912054,  135.3839,/L,    9.4731,   0.2995328,  288.57489,  -43.39911,        n.a.     n.a.
 2023-Mar-10 00:00, , , 14 01 59.71, -11 14 51.9,   20.520,   n.a.,  3.46657212459128,-11.5210268,  136.5048,/L,    9.2743,   0.3092019,  288.60474,  -41.64581,        n.a.     n.a.
 2023-Mar-11 00:00, , , 14 01 30.60, -11 12 27.0,   20.520,   n.a.,  3.46002728283331,-11.1425184,  137.6290,/L,    9.0718,   0.3187230,  288.63398,  -39.89387,        n.a.     n.a.
 2023-Mar-12 00:00, , , 14 01 00.62, -11 09 57.6,   20.520,   n.a.,  3.45370344803197,-10.7556685,  138.7564,/L,    8.8656,   0.3280888,  288.66271,  -38.14366,        n.a.     n.a.
 2023-Mar-13 00:00, , , 14 00 29.79, -11 07 23.6,   20.520,   n.a.,  3.44760544312699,-10.3604574,  139.8872,/L,    8.6560,   0.3372912,  288.69102,  -36.39552,        n.a.     n.a.
 2023-Mar-14 00:00, , , 13 59 58.13, -11 04 45.3,   20.520,   n.a.,  3.44173810363942, -9.9568622,  141.0210,/L,    8.4428,   0.3463214,  288.71894,  -34.64981,        n.a.     n.a.
 2023-Mar-15 00:00, , , 13 59 25.65, -11 02 02.5,   20.520,   n.a.,  3.43610627770225, -9.5448634,  142.1580,/L,    8.2262,   0.3551696,  288.74651,  -32.90686,        n.a.     n.a.
 2023-Mar-16 00:00, , , 13 58 52.37, -10 59 15.5,   20.520,   n.a.,  3.43071482155922, -9.1244543,  143.2980,/L,    8.0063,   0.3638250,  288.77372,  -31.16705,        n.a.     n.a.
 2023-Mar-17 00:00, , , 13 58 18.30, -10 56 24.2,   20.521,   n.a.,  3.42556858850326, -8.6956544,  144.4410,/L,    7.7832,   0.3722758,  288.80056,  -29.43082,        n.a.     n.a.
 2023-Mar-18 00:00, , , 13 57 43.48, -10 53 28.8,   20.521,   n.a.,  3.42067240866585, -8.2585278,  145.5868,/L,    7.5569,   0.3805092,  288.82697,  -27.69866,        n.a.     n.a.
 2023-Mar-19 00:00, , , 13 57 07.92, -10 50 29.4,   20.522,   n.a.,  3.41603105752146, -7.8132031,  146.7353,/L,    7.3274,   0.3885113,  288.85289,  -25.97124,        n.a.     n.a.
 2023-Mar-20 00:00, , , 13 56 31.64, -10 47 26.1,   20.523,   n.a.,  3.41164921325377, -7.3598906,  147.8865,/L,    7.0951,   0.3962682,  288.87826,  -24.24932,        n.a.     n.a.
 2023-Mar-21 00:00, , , 13 55 54.67, -10 44 19.0,   20.524,   n.a.,  3.40753140720125, -6.8988883,  149.0401,/L,    6.8598,   0.4037665,  288.90301,  -22.53381,        n.a.     n.a.
 2023-Mar-22 00:00, , , 13 55 17.02, -10 41 08.2,   20.525,   n.a.,  3.40368197577660, -6.4305699,  150.1962,/L,    6.6217,   0.4109940,  288.92710,  -20.82565,        n.a.     n.a.
 2023-Mar-23 00:00, , , 13 54 38.74, -10 37 53.9,   20.526,   n.a.,  3.40010502371226, -5.9553585,  151.3544,/L,    6.3810,   0.4179404,  288.95052,  -19.12580,        n.a.     n.a.
 2023-Mar-24 00:00, , , 13 53 59.84, -10 34 36.1,   20.528,   n.a.,  3.39680440547207, -5.4736921,  152.5148,/L,    6.1377,   0.4245977,  288.97327,  -17.43511,        n.a.     n.a.
 2023-Mar-25 00:00, , , 13 53 20.35, -10 31 15.1,   20.529,   n.a.,  3.39378372550531, -4.9859944,  153.6771,/L,    5.8920,   0.4309597,  288.99540,  -15.75429,        n.a.     n.a.
 2023-Mar-26 00:00, , , 13 52 40.30, -10 27 50.9,   20.531,   n.a.,  3.39104635229120, -4.4926572,  154.8412,/L,    5.6440,   0.4370214,  289.01693,  -14.08390,        n.a.     n.a.
 2023-Mar-27 00:00, , , 13 51 59.72, -10 24 23.8,   20.533,   n.a.,  3.38859543867186, -3.9940357,  156.0069,/L,    5.3938,   0.4427790,  289.03791,  -12.42436,        n.a.     n.a.
